Date/Time,Word Count,en,pt-BR
2022.10.24-18.55.49,0,0,0
2022.10.24-18.58.21,34,34,0
2022.10.24-19.09.36,34,34,34
2022.10.24-19.45.28,34,34,32
2022.10.24-19.53.16,34,34,34
2022.10.24-21.36.31,69,69,34
2022.10.24-21.45.02,69,69,69
2022.10.24-21.58.40,73,73,69
2022.10.24-22.00.34,73,73,73
2022.10.25-21.13.24,90,90,73
2022.10.25-21.16.53,90,90,90
2022.10.25-21.49.55,92,92,90
2022.10.25-21.51.02,92,92,92
2023.05.11-14.30.28,96,96,92
2023.05.11-14.32.37,96,96,96
2023.08.31-13.51.18,102,102,96
2023.08.31-13.53.46,102,102,102
2023.08.31-14.01.38,103,103,101
2023.08.31-14.03.10,103,103,103
